"month","index.decile","index.age","other.decile","other.age","contact.type","n.contact"
"2020-07","3-10","16-59","3-10","60+","Other",6466964.02157529
"2020-07","1-2","60+","3-10","60+","Other",325414.539707537
"2020-07","3-10","60+","3-10","60+","Other",2718683.04224783
"2020-08","1-2","16-59","1-2","16-59","Home",3030491.54219731
"2020-08","3-10","16-59","1-2","16-59","Home",0
"2020-08","1-2","60+","1-2","16-59","Home",807094.877052283
"2020-08","3-10","60+","1-2","16-59","Home",0
"2020-08","1-2","16-59","3-10","16-59","Home",0
"2020-08","3-10","16-59","3-10","16-59","Home",10923323.2868124
"2020-08","1-2","60+","3-10","16-59","Home",0
"2020-08","3-10","60+","3-10","16-59","Home",3676926.71318757
"2020-08","1-2","16-59","1-2","60+","Home",807094.877052283
"2020-08","3-10","16-59","1-2","60+","Home",0
"2020-08","1-2","60+","1-2","60+","Home",272834.210196039
"2020-08","3-10","60+","1-2","60+","Home",0
"2020-08","1-2","16-59","3-10","60+","Home",0
"2020-08","3-10","16-59","3-10","60+","Home",3676926.71318757
"2020-08","1-2","60+","3-10","60+","Home",0
"2020-08","3-10","60+","3-10","60+","Home",1532422.13245002
"2020-08","1-2","16-59","1-2","16-59","Other",4377361.43738172
"2020-08","3-10","16-59","1-2","16-59","Other",6318909.71703606
"2020-08","1-2","60+","1-2","16-59","Other",681766.070599296
"2020-08","3-10","60+","1-2","16-59","Other",1247817.88228209
"2020-08","1-2","16-59","3-10","16-59","Other",6358981.19780901
"2020-08","3-10","16-59","3-10","16-59","Other",39003434.5578238
"2020-08","1-2","60+","3-10","16-59","Other",984158.678665608
"2020-08","3-10","60+","3-10","16-59","Other",7653613.30655304
"2020-08","1-2","16-59","1-2","60+","Other",681766.070599296
"2020-08","3-10","16-59","1-2","60+","Other",984158.678665608
"2020-08","1-2","60+","1-2","60+","Other",247945.244309452
"2020-08","3-10","60+","1-2","60+","Other",453807.431930678
"2020-08","1-2","16-59","3-10","60+","Other",1247817.88228209
"2020-08","3-10","16-59","3-10","60+","Other",7653613.30655304
"2020-08","1-2","60+","3-10","60+","Other",413735.951157722
"2020-08","3-10","60+","3-10","60+","Other",3217545.14777392
