"month","index.decile","index.age","other.decile","other.age","contact.type","n.contact.pp"
"2020-11","1-2","60+","1-2","16-59","Home",1.85023504834696
"2020-11","3-10","60+","1-2","16-59","Home",0
"2020-11","1-2","16-59","3-10","16-59","Home",0
"2020-11","3-10","16-59","3-10","16-59","Home",2.67525244525991
"2020-11","1-2","60+","3-10","16-59","Home",0
"2020-11","3-10","60+","3-10","16-59","Home",1.7432544658963
"2020-11","1-2","16-59","1-2","60+","Home",0.592457176176249
"2020-11","3-10","16-59","1-2","60+","Home",0
"2020-11","1-2","60+","1-2","60+","Home",1.28899034348109
"2020-11","3-10","60+","1-2","60+","Home",0
"2020-11","1-2","16-59","3-10","60+","Home",0
"2020-11","3-10","16-59","3-10","60+","Home",0.70774518903714
"2020-11","1-2","60+","3-10","60+","Home",0
"2020-11","3-10","60+","3-10","60+","Home",1.39597092593175
"2020-11","1-2","16-59","1-2","16-59","Other",4.16158125021618
"2020-11","3-10","16-59","1-2","16-59","Other",0.957705181887351
"2020-11","1-2","60+","1-2","16-59","Other",2.13990629645483
"2020-11","3-10","60+","1-2","16-59","Other",0.4924568873338
"2020-11","1-2","16-59","3-10","16-59","Other",3.67935033042722
"2020-11","3-10","16-59","3-10","16-59","Other",7.12132451767202
"2020-11","1-2","60+","3-10","16-59","Other",1.87357179325782
"2020-11","3-10","60+","3-10","16-59","Other",3.62626864764912
"2020-11","1-2","16-59","1-2","60+","Other",0.685211775018578
"2020-11","3-10","16-59","1-2","60+","Other",0.157687866262717
"2020-11","1-2","60+","1-2","60+","Other",1.02198843602674
"2020-11","3-10","60+","1-2","60+","Other",0.235190318814732
"2020-11","1-2","16-59","3-10","60+","Other",0.760652818584424
"2020-11","3-10","16-59","3-10","60+","Other",1.47223153001379
"2020-11","1-2","60+","3-10","60+","Other",1.02294606834026
"2020-11","3-10","60+","3-10","60+","Other",1.97989597687532
"2020-12","1-2","16-59","1-2","16-59","Home",2.7905404581208
"2020-12","3-10","16-59","1-2","16-59","Home",0
"2020-12","1-2","60+","1-2","16-59","Home",1.85023504834696
"2020-12","3-10","60+","1-2","16-59","Home",0
"2020-12","1-2","16-59","3-10","16-59","Home",0
"2020-12","3-10","16-59","3-10","16-59","Home",2.67525244525991
"2020-12","1-2","60+","3-10","16-59","Home",0
"2020-12","3-10","60+","3-10","16-59","Home",1.7432544658963
"2020-12","1-2","16-59","1-2","60+","Home",0.592457176176249
"2020-12","3-10","16-59","1-2","60+","Home",0
"2020-12","1-2","60+","1-2","60+","Home",1.28899034348109
"2020-12","3-10","60+","1-2","60+","Home",0
"2020-12","1-2","16-59","3-10","60+","Home",0
"2020-12","3-10","16-59","3-10","60+","Home",0.70774518903714
"2020-12","1-2","60+","3-10","60+","Home",0
"2020-12","3-10","60+","3-10","60+","Home",1.39597092593175
"2020-12","1-2","16-59","1-2","16-59","Other",3.9143190997365
"2020-12","3-10","16-59","1-2","16-59","Other",0.813230342093053
"2020-12","1-2","60+","1-2","16-59","Other",2.01276283802567
"2020-12","3-10","60+","1-2","16-59","Other",0.418167188114528
"2020-12","1-2","16-59","3-10","16-59","Other",3.12430107352751
"2020-12","3-10","16-59","3-10","16-59","Other",6.60180804719198
"2020-12","1-2","60+","3-10","16-59","Other",1.59093368103564
"2020-12","3-10","60+","3-10","16-59","Other",3.36172428035283
"2020-12","1-2","16-59","1-2","60+","Other",0.644499620950626
"2020-12","3-10","16-59","1-2","60+","Other",0.133899826220045
"2020-12","1-2","60+","1-2","60+","Other",0.961266550939376
