"type","a","a.","contacts"
"work","30-34","25-29",0.935229055284697
"work","35-39","25-29",0.874728096859253
"work","40-44","25-29",0.860723109509684
"work","45-49","25-29",0.658150040109606
"work","50-54","25-29",0.644297885168797
"work","55-59","25-29",0.363770275616208
"work","60-64","25-29",0.0898810834036074
"work","65-69","25-29",7.89308410220945e-05
"work","70-74","25-29",2.12446738801606e-05
"work","75+?","25-29",4.6966401121415e-05
"work","00-04","30-34",0
"work","05-09","30-34",0
"work","10-14","30-34",0.0790722401629062
"work","15-19","30-34",0.340042966859259
"work","20-24","30-34",0.690083288478139
"work","25-29","30-34",0.986437254503655
"work","30-34","30-34",1.23596863591076
"work","35-39","30-34",0.94591885791959
"work","40-44","30-34",1.02522844454986
"work","45-49","30-34",0.852173916333324
"work","50-54","30-34",0.758447603584905
"work","55-59","30-34",0.510771211236618
"work","60-64","30-34",0.0999883667789
"work","65-69","30-34",7.24212841810556e-05
"work","70-74","30-34",3.57267602914169e-05
"work","75+?","30-34",4.69316082196987e-05
"work","00-04","35-39",0
"work","05-09","35-39",0
"work","10-14","35-39",0.0224399057809962
"work","15-19","35-39",0.314763181203456
"work","20-24","35-39",0.757135431584239
"work","25-29","35-39",0.959043956948954
"work","30-34","35-39",1.07936874909743
"work","35-39","35-39",1.30160106026067
"work","40-44","35-39",1.09255087618342
"work","45-49","35-39",0.932953978968613
"work","50-54","35-39",0.786476037982463
"work","55-59","35-39",0.47957539886285
"work","60-64","35-39",0.117670873346564
"work","65-69","35-39",2.91748202958044e-05
"work","70-74","35-39",4.023770328994e-05
"work","75+?","35-39",8.42184043793238e-05
"work","00-04","40-44",0
"work","05-09","40-44",0
"work","10-14","40-44",0.0783627782191602
"work","15-19","40-44",0.348872552659259
"work","20-24","40-44",0.568742837626843
"work","25-29","40-44",0.881491035878761
"work","30-34","40-44",0.962375920833066
"work","35-39","40-44",1.2598273440885
"work","40-44","40-44",1.33171094070065
"work","45-49","40-44",0.960279125065648
"work","50-54","40-44",1.05955604184007
"work","55-59","40-44",0.609967625034043
"work","60-64","40-44",0.126585955512311
"work","65-69","40-44",6.61873731914089e-05
"work","70-74","40-44",3.56401934838515e-05
"work","75+?","40-44",2.77788167870324e-05
"work","00-04","45-49",0
"work","05-09","45-49",0
"work","10-14","45-49",0.0463045030427236
"work","15-19","45-49",0.279772819559559
"work","20-24","45-49",0.463336204468766
"work","25-29","45-49",0.628640783170823
"work","30-34","45-49",0.799219894560658
"work","35-39","45-49",0.886806704076571
"work","40-44","45-49",1.08841966791415
"work","45-49","45-49",0.953321440489605
"work","50-54","45-49",1.03958634135897
"work","55-59","45-49",0.489443616495639
"work","60-64","45-49",0.125729947595966
"work","65-69","45-49",5.95693237614859e-05
"work","70-74","45-49",3.09769252220888e-05
"work","75+?","45-49",1.03294377711226e-05
"work","00-04","50-54",0
"work","05-09","50-54",0
"work","10-14","50-54",0.0181554575150481
"work","15-19","50-54",0.162683613082408
"work","20-24","50-54",0.350307325180775
"work","25-29","50-54",0.511678603184529
"work","30-34","50-54",0.477355952887599
"work","35-39","50-54",0.639370852709238
"work","40-44","50-54",0.774616669440744
"work","45-49","50-54",0.608047374386594
"work","50-54","50-54",0.7820464300249
"work","55-59","50-54",0.44932040805295
"work","60-64","50-54",0.0951227756243204
"work","65-69","50-54",7.70713499676886e-05
"work","70-74","50-54",2.13053382126404e-05
"work","75+?","50-54",1.06803617525547e-05
"work","00-04","55-59",0
"work","05-09","55-59",0
"work","10-14","55-59",4.14168713374951e-08
"work","15-19","55-59",0.0715022349206265
"work","20-24","55-59",0.149072971790973
"work","25-29","55-59",0.21895802719288
"work","30-34","55-59",0.257973093116792
"work","35-39","55-59",0.235639452105277
"work","40-44","55-59",0.248915364913852
"work","45-49","55-59",0.286573540106506
"work","50-54","55-59",0.351410273686272
"work","55-59","55-59",0.260411894569324
"work","60-64","55-59",0.0680083600894465
"work","65-69","55-59",5.30687747550547e-05
"work","70-74","55-59",4.49709413682317e-05
"work","75+?","55-59",7.26341826022827e-75
"work","00-04","60-64",0
"work","05-09","60-64",0
"work","10-14","60-64",3.11894948273477e-17
"work","15-19","60-64",0.0103918183422445
"work","20-24","60-64",0.0298398864472743
"work","25-29","60-64",0.039684150556868
"work","30-34","60-64",0.0375250923747191
"work","35-39","60-64",0.026482369015418
"work","40-44","60-64",0.0386337491520599
"work","45-49","60-64",0.0313007078828191
"work","50-54","60-64",0.0363476497355413
"work","55-59","60-64",0.0327127554804115
"work","60-64","60-64",0.007198422960406
"work","65-69","60-64",4.66030116729831e-05
"work","70-74","60-64",2.61368372879117e-05
"work","75+?","60-64",1.1007397129367e-65
"work","00-04","65-69",8.20604524144799e-92
"work","05-09","65-69",1.34955577649482e-05
"work","10-14","65-69",2.79780317050874e-53
"work","15-19","65-69",8.34699601569499e-06
"work","20-24","65-69",9.86113406685426e-06
"work","25-29","65-69",1.60674627209247e-05
"work","30-34","65-69",1.63795562861678e-05
"work","35-39","65-69",1.22988529792325e-05
"work","40-44","65-69",1.43626161051225e-05
"work","45-49","65-69",1.62810370309725e-05
"work","50-54","65-69",1.18079721296951e-05
"work","55-59","65-69",1.34978303537199e-05
"work","60-64","65-69",2.03019580125905e-05
"work","65-69","65-69",1.41633235369618e-05
"work","70-74","65-69",1.68266203450558e-05
"work","75+?","65-69",1.02831671225411e-05
"work","00-04","70-74",1.20585150153575e-05
"work","05-09","70-74",7.64591325099167e-79
"work","10-14","70-74",4.95800769991485e-06
"work","15-19","70-74",2.85972822398043e-06
"work","20-24","70-74",1.32609387026297e-05
"work","25-29","70-74",1.01182607649525e-05
"work","30-34","70-74",4.10100850711255e-06
"work","35-39","70-74",9.13512833417088e-06
"work","40-44","70-74",1.0272156668633e-05
"work","45-49","70-74",1.08243610478748e-05
"work","50-54","70-74",1.18226645434458e-05
"work","55-59","70-74",6.58739925151983e-06
"work","60-64","70-74",8.26102155746138e-06
"work","65-69","70-74",2.49066205094463e-05
"work","70-74","70-74",1.66514322038967e-05
"work","75+?","70-74",5.16902993520797e-49
"work","00-04","75+?",3.16436833811157e-125
"work","05-09","75+?",2.38392072802515e-65
"work","10-14","75+?",3.77718082671442e-102
"work","15-19","75+?",1.8892612209825e-31
"work","20-24","75+?",3.74318048013413e-06
"work","25-29","75+?",3.01442534314934e-06
"work","30-34","75+?",3.49478980213196e-06
"work","35-39","75+?",6.02097415838912e-06
"work","40-44","75+?",1.29503893416799e-05
"work","45-49","75+?",6.09172338735696e-06
"work","50-54","75+?",1.01613164687284e-05
"work","55-59","75+?",6.65716755912865e-06
"work","60-64","75+?",1.48398182163668e-05
"work","65-69","75+?",1.19109037525741e-05
"work","70-74","75+?",2.60822813286115e-05
"work","75+?","75+?",8.28040508722867e-43
"school","00-04","00-04",1.72032615307372
"school","05-09","00-04",0.329326287671432
"school","10-14","00-04",0.00283805757795398
"school","15-19","00-04",0.020847751112867
"school","20-24","00-04",0.0219522142923125
"school","25-29","00-04",0.0231029405245907
"school","30-34","00-04",0.0464661245021097
"school","35-39","00-04",0.0776918679757917
"school","40-44","00-04",0.0257243791756082
"school","45-49","00-04",0.232464608259853
"school","50-54","00-04",0.0605666438505581
"school","55-59","00-04",0.182825069644099
"school","60-64","00-04",0.0807237819182284
"school","65-69","00-04",0.00209507682346555
"school","70-74","00-04",1.2856993246335e-28
"school","75+?","00-04",2.82477550922355e-94
"school","00-04","05-09",0.263188673438841
"school","05-09","05-09",2.6294098366954
"school","10-14","05-09",0.589170863472863
"school","15-19","05-09",0.0310290176886193
"school","20-24","05-09",0.0150258389436575
"school","25-29","05-09",0.0730794145709966
"school","30-34","05-09",0.250053046182524
"school","35-39","05-09",0.147421272779427
"school","40-44","05-09",0.0872978400765165
"school","45-49","05-09",0.2123457938824
"school","50-54","05-09",0.373255415636679
"school","55-59","05-09",0.349654415610316
"school","60-64","05-09",0.0698537232460518
"school","65-69","05-09",0.0262537073166026
"school","70-74","05-09",5.11663592508684e-26
"school","75+?","05-09",0.0211560806111868
"school","00-04","10-14",0.0490107409596813
"school","05-09","10-14",0.151758079256848
"school","10-14","10-14",3.54763118768848
"school","15-19","10-14",1.35544097050991
"school","20-24","10-14",0.00616176725447031
"school","25-29","10-14",0.0236781632313113
"school","30-34","10-14",0.17075413869224
"school","35-39","10-14",0.111479195598665
"school","40-44","10-14",0.0715339324740825
"school","45-49","10-14",0.142041645266196
"school","50-54","10-14",0.482021524016063
"school","55-59","10-14",0.312043231846206
"school","60-64","10-14",0.0365207909520142
"school","65-69","10-14",0.0102828629398425
"school","70-74","10-14",1.9327667898617e-40
"school","75+?","10-14",8.47687516411339e-42
"school","00-04","15-19",0.0650092617201962
"school","05-09","15-19",0.0206358583191246
"school","10-14","15-19",0.135257140604448
"school","15-19","15-19",5.75896134860374
"school","20-24","15-19",0.61857815845576
"school","25-29","15-19",0.145336476468658
"school","30-34","15-19",0.129261401167497
"school","35-39","15-19",0.0671826092120484
"school","40-44","15-19",0.34225398393562
"school","45-49","15-19",0.604625181611385
"school","50-54","15-19",0.61447227744683
"school","55-59","15-19",0.417853493173652
"school","60-64","15-19",0.197743547555561
"school","65-69","15-19",7.74339454860201e-32
"school","70-74","15-19",0.00762391945309753
"school","75+?","15-19",0.0213079528277972
"school","00-04","20-24",0.0163319608253293
"school","05-09","20-24",0.0187922524120682
"school","10-14","20-24",0.0124333857515422
"school","15-19","20-24",0.0604829007096684
"school","20-24","20-24",0.303611838772901
"school","25-29","20-24",0.196584609084582
"school","30-34","20-24",0.0365577400623227
"school","35-39","20-24",0.0143598282708091
"school","40-44","20-24",0.00712482677177848
"school","45-49","20-24",0.00548514816503375
"school","50-54","20-24",0.00581067855233719
"school","55-59","20-24",0.00667689262768784
"school","60-64","20-24",0.0139832914962757
"school","65-69","20-24",0.00194326155434753
"school","70-74","20-24",2.63720806820262e-22
"school","75+?","20-24",4.90052268889318e-36
"school","00-04","25-29",0.0715945139786761
"school","05-09","25-29",0.0524371954543273
"school","10-14","25-29",0.0421969661731074
"school","15-19","25-29",0.0568333171908502
"school","20-24","25-29",0.0354908891968768
"school","25-29","25-29",0.119126448279573
"school","30-34","25-29",0.0663660580622668
"school","35-39","25-29",0.0427096431295761
"school","40-44","25-29",0.0221093924674301
"school","45-49","25-29",0.0293966444035983
"school","50-54","25-29",0.0158372485795371
"school","55-59","25-29",0.0605437984290989
"school","60-64","25-29",0.00191188741709176
"school","65-69","25-29",0.00190542793066563
"school","70-74","25-29",1.69851997930628e-24
"school","75+?","25-29",0.00759685446990643
"school","00-04","30-34",0.131902171104095
"school","05-09","30-34",0.0700243480687803
"school","10-14","30-34",0.0439692793997106
"school","15-19","30-34",0.0649608148982888
"school","20-24","30-34",0.0242635820671173
"school","25-29","30-34",0.0212031605935315
"school","30-34","30-34",0.0614082961184569
"school","35-39","30-34",0.0606541138593275
"school","40-44","30-34",0.0221049566907041
"school","45-49","30-34",0.0577601777193197
"school","50-54","30-34",0.0450011900263689
"school","55-59","30-34",0.0239313564191007
"school","60-64","30-34",0.0178664041275878
"school","65-69","30-34",0.0123846400344237
"school","70-74","30-34",1.25962669959346e-26
"school","75+?","30-34",9.7789047120628e-69
"school","00-04","35-39",0.09653261696774
"school","05-09","35-39",0.0660926901327074
"school","10-14","35-39",0.0699306522362521
"school","15-19","35-39",0.0910221382633426
"school","20-24","35-39",0.0297542237952248
"school","25-29","35-39",0.0280762843311973
"school","30-34","35-39",0.0425997036333243
"school","35-39","35-39",0.0453314183471829
"school","40-44","35-39",0.029907842812023
"school","45-49","35-39",0.0499244310429024
"school","50-54","35-39",0.0444095402691576
"school","55-59","35-39",0.0401693698138372
"school","60-64","35-39",0.0497706669614555
"school","65-69","35-39",0.00542705678792998
"school","70-74","35-39",0.0076270995605672
"school","75+?","35-39",2.23267967199991e-60
"school","00-04","40-44",0.0463182970296761
"school","05-09","40-44",0.0659114234165564
"school","10-14","40-44",0.0750858038561612
"school","15-19","40-44",0.078940523023507
"school","20-24","40-44",0.0195693484589234
"school","25-29","40-44",0.0344774623326023
"school","30-34","40-44",0.0479706792718944
"school","35-39","40-44",0.0522256950185292
"school","40-44","40-44",0.0665333588191933
"school","45-49","40-44",0.0483638325603093
"school","50-54","40-44",0.0574140933959362
"school","55-59","40-44",0.0523600237309818
"school","60-64","40-44",0.0112439132465434
"school","65-69","40-44",0.00551716774798754
"school","70-74","40-44",0.00785715923920478
"school","75+?","40-44",1.43834418892016e-48
"school","00-04","45-49",0.0590994163634281
"school","05-09","45-49",0.0506275813013118
"school","10-14","45-49",0.0635086137082711
"school","15-19","45-49",0.100811316505442
"school","20-24","45-49",0.0255355845387531
"school","25-29","45-49",0.0322527258236576
"school","30-34","45-49",0.0266921591725539
"school","35-39","45-49",0.0267157196886046
