decile,t,cases
7,2021-04-15,316
7,2021-04-16,288
7,2021-04-17,293
7,2021-04-18,226
7,2021-04-19,316
7,2021-04-20,294
7,2021-04-21,264
7,2021-04-22,218
7,2021-04-23,254
7,2021-04-24,220
7,2021-04-25,177
7,2021-04-26,228
7,2021-04-27,207
7,2021-04-28,236
7,2021-04-29,195
7,2021-04-30,204
8,2020-12-01,100
8,2020-12-02,96
8,2020-12-03,87
8,2020-12-04,81
8,2020-12-05,63
8,2020-12-06,104
8,2020-12-07,114
8,2020-12-08,107
8,2020-12-09,128
8,2020-12-10,120
8,2020-12-11,127
8,2020-12-12,103
8,2020-12-13,99
8,2020-12-14,147
8,2020-12-15,131
8,2020-12-16,163
8,2020-12-17,129
8,2020-12-18,134
8,2020-12-19,113
8,2020-12-20,117
8,2020-12-21,147
8,2020-12-22,149
8,2020-12-23,149
8,2020-12-24,148
8,2020-12-25,143
8,2020-12-26,206
8,2020-12-27,206
8,2020-12-28,256
8,2020-12-29,180
8,2020-12-30,186
8,2020-12-31,195
8,2021-01-01,187
8,2021-01-02,196
8,2021-01-03,171
8,2021-01-04,221
8,2021-01-05,180
8,2021-01-06,190
8,2021-01-07,194
8,2021-01-08,158
8,2021-01-09,135
8,2021-01-10,129
8,2021-01-11,154
8,2021-01-12,132
8,2021-01-13,172
8,2021-01-14,121
8,2021-01-15,121
8,2021-01-16,103
8,2021-01-17,112
8,2021-01-18,133
8,2021-01-19,111
8,2021-01-20,110
8,2021-01-21,118
8,2021-01-22,110
8,2021-01-23,93
8,2021-01-24,84
8,2021-01-25,90
8,2021-01-26,85
8,2021-01-27,76
8,2021-01-28,79
8,2021-01-29,62
8,2021-01-30,56
8,2021-01-31,55
8,2021-02-01,58
8,2021-02-02,80
8,2021-02-03,72
8,2021-02-04,68
8,2021-02-05,68
8,2021-02-06,52
8,2021-02-07,61
8,2021-02-08,69
8,2021-02-09,50
8,2021-02-10,52
8,2021-02-11,45
8,2021-02-12,46
8,2021-02-13,36
8,2021-02-14,34
8,2021-02-15,49
8,2021-02-16,45
8,2021-02-17,52
8,2021-02-18,69
8,2021-02-19,47
8,2021-02-20,44
8,2021-02-21,49
8,2021-02-22,47
8,2021-02-23,66
8,2021-02-24,86
8,2021-02-25,76
8,2021-02-26,65
8,2021-02-27,54
8,2021-02-28,79
8,2021-03-01,81
8,2021-03-02,62
8,2021-03-03,74
8,2021-03-04,42
8,2021-03-05,72
8,2021-03-06,69
8,2021-03-07,66
8,2021-03-08,87
8,2021-03-09,62
8,2021-03-10,91
8,2021-03-11,77
8,2021-03-12,64
8,2021-03-13,61
8,2021-03-14,71
8,2021-03-15,90
8,2021-03-16,105
8,2021-03-17,134
8,2021-03-18,101
8,2021-03-19,100
8,2021-03-20,97
8,2021-03-21,82
8,2021-03-22,146
8,2021-03-23,132
8,2021-03-24,139
8,2021-03-25,143
8,2021-03-26,133
8,2021-03-27,129
8,2021-03-28,147
8,2021-03-29,179
8,2021-03-30,174
8,2021-03-31,173
8,2021-04-01,234
8,2021-04-02,204
8,2021-04-03,204
8,2021-04-04,222
8,2021-04-05,316
8,2021-04-06,278
8,2021-04-07,293
8,2021-04-08,271
8,2021-04-09,282
8,2021-04-10,261
8,2021-04-11,252
8,2021-04-12,263
8,2021-04-13,212
8,2021-04-14,211
8,2021-04-15,213
8,2021-04-16,246
8,2021-04-17,181
8,2021-04-18,172
8,2021-04-19,247
8,2021-04-20,186
8,2021-04-21,217
8,2021-04-22,206
8,2021-04-23,196
8,2021-04-24,180
8,2021-04-25,155
8,2021-04-26,198
8,2021-04-27,166
8,2021-04-28,191
8,2021-04-29,182
8,2021-04-30,189
9,2020-12-01,64
9,2020-12-02,73
9,2020-12-03,63
9,2020-12-04,61
9,2020-12-05,54
9,2020-12-06,81
9,2020-12-07,83
9,2020-12-08,73
9,2020-12-09,70
9,2020-12-10,66
9,2020-12-11,65
9,2020-12-12,54
9,2020-12-13,50
9,2020-12-14,84
9,2020-12-15,86
9,2020-12-16,83
9,2020-12-17,53
9,2020-12-18,66
9,2020-12-19,64
9,2020-12-20,67
9,2020-12-21,98
9,2020-12-22,76
9,2020-12-23,93
9,2020-12-24,108
9,2020-12-25,84
9,2020-12-26,144
9,2020-12-27,161
9,2020-12-28,179
9,2020-12-29,150
9,2020-12-30,122
9,2020-12-31,118
9,2021-01-01,132
9,2021-01-02,114
9,2021-01-03,120
9,2021-01-04,134
9,2021-01-05,125
9,2021-01-06,128
9,2021-01-07,128
9,2021-01-08,103
9,2021-01-09,79
9,2021-01-10,74
9,2021-01-11,108
9,2021-01-12,90
9,2021-01-13,72
9,2021-01-14,76
9,2021-01-15,75
9,2021-01-16,70
9,2021-01-17,67
9,2021-01-18,83
9,2021-01-19,71
9,2021-01-20,67
9,2021-01-21,51
9,2021-01-22,66
9,2021-01-23,32
9,2021-01-24,31
9,2021-01-25,77
9,2021-01-26,79
9,2021-01-27,48
9,2021-01-28,42
9,2021-01-29,53
